050540,한국코퍼레이션,20200325,정리매매
052190,이에스에이,20200324,정리매매
052400,코나아이,20200320,정리매매
052770,아이톡시,20190116,정리매매
053660,현진소재,20200403,정리매매
054220,비츠로시스,20190313,정리매매
056730,포스링크,20190211,정리매매
058220,아리온,20200407,정리매매
058420,제이웨이,20200429,정리매매
060300,레드로버,20190722,정리매매
064520,바른전자,20181213,정리매매
065150,MP그룹,20170725,정리매매
065420,에스아이리소스,20200515,정리매매
065560,녹원씨엔아이,20190729,정리매매
065620,제낙스,20200330,정리매매
065940,바이오빌,20200513,정리매매
066110,한프,20200513,정리매매
066790,씨씨에스,20191112,정리매매
069330,유아이디,20200317,정리매매
069540,라이트론,20190607,정리매매
079190,EMW,20180918,정리매매
080440,에스제이케이,20200210,정리매매
083470,이엠앤아이,20190117,정리매매
083660,CSA 코스믹,20190213,정리매매
086250,이노와이즈,20200507,정리매매
087730,에스모 머티리얼즈,20200529,정리매매
101400,엔시트론,20200521,정리매매
102210,해덕파워웨이,20191029,정리매매
106080,하이소닉,20200514,정리매매
111820,지와이커머스,20190322,정리매매
112240,에스에프씨,20200515,정리매매
114190,강원,20200406,정리매매
114570,지스마트글로벌,20200324,정리매매
115530,씨엔플러스,20180807,정리매매
121890,에스디시스템,20200403,정리매매
134780,화진,20181123,정리매매
138360,에이씨티,20200207,정리매매
141020,포티스,20200313,정리매매
149940,모다,20181008,정리매매
158310,스타모빌리티,20200318,정리매매
160600,이큐셀,20200320,정리매매
168330,내츄럴엔도텍,20200323,정리매매
176440,에이치엔티,20200324,정리매매
180400,캔서롭,20200406,정리매매
192410,감마누,20181008,정리매매
194510,파티게임즈,20181008,정리매매
195440,퓨전,20200407,정리매매
204990,코썬바이오,20200520,정리매매
215600,신라젠,20200511,정리매매
223310,이에스브이,20200422,정리매매
226350,아이엠텍,20200407,정리매매
263540,샘코,20200323,정리매매
263920,블러썸엠앤씨,20200529,정리매매
277480,신한제4호스팩,20200513,정리매매
309930,삼성머스트스팩3호,20200428,정리매매
322780,DB금융스팩7호,20200529,정리매매
331520,교보9호스팩,20200420,정리매매
335890,IBKS제11호스팩,20200511,정리매매
339950,엔에이치스팩15호,20200421,정리매매
900080,에스앤씨엔진그룹,20200326,정리매매
900100,뉴프라이드,20200312,정리매매
900110,이스트아시아홀딩스,20191101,정리매매
950160,코오롱티슈진,20190529,정리매매
