001529,KR7001523000,동양3우B,0,1,01,N,89722
001530,KR7001530005,DI동일,0,1,01,N,2465609
001550,KR7001550003,조비,0,1,01,N,5192239
001560,KR7001560002,제일연마,0,1,01,N,10000000
001570,KR7001570001,금양,0,1,01,N,44048135
001620,KR7001620004,케이비아이동국실업,0,1,01,N,66042072
001630,KR7001630003,종근당홀딩스,0,1,01,N,5009861
001680,KR7001680008,대상,0,1,01,N,34648025
001685,KR7001681006,대상우,0,1,01,N,1370223
001720,KR7001720002,신영증권,0,1,01,N,9386237
001725,KR7001721000,신영증권우,0,1,01,N,7053763
001740,KR7001740000,SK네트웍스,0,1,01,N,248187647
001745,KR7001741008,SK네트웍스우,0,1,01,N,113648
001750,KR7001750009,한양증권,0,1,01,N,12728534
001755,KR7001751007,한양증권우,0,1,01,N,525000
001770,KR7001770007,신화실업,0,1,01,N,1214878
001780,KR7001780006,알루코,0,1,01,N,74524102
001790,KR7001790005,대한제당,0,1,01,N,8969658
001795,KR7001791003,대한제당우,0,1,01,N,648276
001800,KR7001800002,오리온홀딩스,0,1,01,N,62645422
001820,KR7001820000,삼화콘덴서,0,1,01,N,10395000
001880,KR7001880004,삼호,0,1,01,N,15179766
001940,KR7001940006,KISCO홀딩스,0,1,01,N,18476380
002020,KR7002020006,코오롱,0,1,01,N,12626426
002025,KR7002021004,코오롱우,0,1,01,N,1076390
002030,KR7002030005,아세아,0,1,01,N,2191024
002070,KR7002070001,남영비비안,0,1,01,N,68679450
002100,KR7002100006,경농,0,1,01,N,21691750
002140,KR7002140002,고려산업,0,1,01,N,24939425
002150,KR7002150001,도화엔지니어링,0,1,01,N,33720000
002170,KR7002170009,삼양통상,0,1,01,N,3000000
002200,KR7002200004,한국수출포장,0,1,01,N,4000000
002210,KR7002210003,동성제약,0,1,01,N,26070748
002220,KR7002220002,한일철강,0,1,01,N,22322330
002240,KR7002240000,고려제강,0,1,01,N,20000000
002270,KR7002270007,롯데푸드,0,1,01,N,1131870
002300,KR7002300002,한국제지,0,1,01,N,5004949
002310,KR7002310001,아세아제지,0,1,01,N,8956502
002320,KR7002320000,한진,0,1,01,N,11974656
002350,KR7002350007,넥센타이어,0,1,01,N,97667877
002355,KR7002351005,넥센타이어1우B,0,1,01,N,6500000
002360,KR7002360006,SH에너지화학,0,1,01,N,111133730
002380,KR7002380004,KCC,0,1,01,N,8886471
002390,KR7002390003,한독,0,1,01,N,13763533
002410,KR7002410009,범양건영,0,1,01,N,24831812
002420,KR7002420008,세기상사,0,1,01,N,407592
002450,KR7002450005,삼익악기,0,1,01,N,90530915
002460,KR7002460004,화성산업,0,1,01,N,12450800
002600,KR7002600005,조흥,0,1,01,N,600000
002620,KR7002620003,제일파마홀딩스,0,1,01,N,15973355
002630,KR7002630002,오리엔트바이오,0,1,01,N,101798996
002690,KR7002690006,동일제강,0,1,01,N,15000000
002700,KR7002700003,신일전자,0,1,01,N,71047521
002710,KR7002710002,TCC스틸,0,1,01,N,23000000
002720,KR7002720001,국제약품,0,1,01,N,18400520
002760,KR7002760007,보락,0,1,01,N,59900000
002780,KR7002780005,진흥기업,0,1,01,N,145471745
002785,KR7002781003,진흥기업우B,0,1,01,N,857218
002787,KR7002782001,진흥기업2우B,0,1,01,N,294808
002790,KR7002790004,아모레G,0,1,01,N,82458180
002795,KR7002791002,아모레G우,0,1,01,N,6443770
00279K,KR700279K010,아모레G3우(전환),0,1,01,N,7092200
002810,KR7002810000,삼영무역,0,1,01,N,18466948
002820,KR7002820009,선창산업,0,1,01,N,12607989
002840,KR7002840007,미원상사,0,1,01,N,4970000
002870,KR7002870004,신풍제지,0,1,01,N,34958700
002880,KR7002880003,대유에이텍,0,1,01,N,106915987
002900,KR7002900009,동양물산,0,1,01,N,126004610
002920,KR7002920007,유성기업,0,1,01,N,25947500
002960,KR7002960003,한국쉘석유,0,1,01,N,1300000
002990,KR7002990000,금호산업,0,1,01,N,36633924
002995,KR7002991008,금호산업우,0,1,01,N,292266
003000,KR7003000007,부광약품,0,1,01,N,64837978
003010,KR7003010006,혜인,0,1,01,N,12712747
003030,KR7003030004,세아제강지주,0,1,01,N,4141657
003060,KR7003060001,에이프로젠제약,0,1,01,N,241658332
003070,KR7003070000,코오롱글로벌,0,1,01,N,25210438
003075,KR7003071008,코오롱글로벌우,0,1,01,N,312803
003080,KR7003080009,성보화학,0,1,01,N,20020000
003090,KR7003090008,대웅,0,1,01,N,58141980
003120,KR7003120003,일성신약,0,1,01,N,2660000
003160,KR7003160009,디아이,0,1,01,N,31496785
003200,KR7003200003,일신방직,0,1,01,N,2400000
003220,KR7003220001,대원제약,0,1,01,N,20243603
003230,KR7003230000,삼양식품,0,1,01,N,7533015
003240,KR7003240009,태광산업,0,1,01,N,1113400
003280,KR7003280005,흥아해운,0,1,01,N,116732559
003300,KR7003300001,한일홀딩스,0,1,01,N,5994356
003350,KR7003350006,한국화장품제조,0,1,01,N,4532000
003410,KR7003410008,쌍용양회,0,1,01,N,503859595
003415,KR7003411006,쌍용양회우,0,1,01,N,1543685
003460,KR7003460003,유화증권,0,1,01,N,56702415
003465,KR7003461001,유화증권우,0,1,01,N,17476425
003470,KR7003470002,유안타증권,0,1,01,N,199596576
003475,KR7003471000,유안타증권우,0,1,01,N,12912212
003480,KR7003480001,한진중공업홀딩스,0,1,01,N,29529812
003490,KR7003490000,대한항공,0,1,01,N,94844634
003495,KR7003491008,대한항공우,0,1,01,N,1110794
003520,KR7003520004,영진약품,0,1,01,N,182892731
003530,KR7003530003,한화투자증권,0,1,01,N,214547775
003535,KR7003531001,한화투자증권우,0,1,01,N,4800000
003540,KR7003540002,대신증권,0,1,01,N,50773400
003545,KR7003541000,대신증권우,0,1,01,N,26000000
003547,KR7003542008,대신증권2우B,0,1,01,N,10000000
003550,KR7003550001,LG,0,1,01,N,172557131
003555,KR7003551009,LG우,0,1,01,N,3314677
003560,KR7003560000,IHQ,0,1,01,N,146235748
003570,KR7003570009,S&T중공업,0,1,01,N,33252697
003580,KR7003580008,넥스트사이언스,0,1,01,N,31800095
003610,KR7003610003,방림,0,1,01,N,42314090
003620,KR7003620002,쌍용차,0,1,01,N,149840002
003650,KR7003650009,미창석유,0,1,01,N,1739672
003670,KR7003670007,포스코케미칼,0,1,01,N,60988220
003680,KR7003680006,한성기업,0,1,01,N,6209515
003690,KR7003690005,코리안리,0,1,01,N,120369116
003720,KR7003720000,삼영화학,0,1,01,N,34000000
003780,KR7003780004,진양산업,0,1,01,N,13000000
003830,KR7003830007,대한화섬,0,1,01,N,1328000
003850,KR7003850005,보령제약,0,1,01,N,47620000
003920,KR7003920006,남양유업,0,1,01,N,720000
003925,KR7003921004,남양유업우,0,1,01,N,166662
003960,KR7003960002,사조대림,0,1,01,N,9164467
004000,KR7004000006,롯데정밀화학,0,1,01,N,25800000
004020,KR7004020004,현대제철,0,1,01,N,133445785
004060,KR7004060000,SG세계물산,0,1,01,N,202424960
004080,KR7004080008,신흥,0,1,01,N,9600000
004090,KR7004090007,한국석유,0,1,01,N,655200
004100,KR7004100004,태양금속,0,1,01,N,36700000
004105,KR7004101002,태양금속우,0,1,01,N,3300000
004140,KR7004140000,동방,0,1,01,N,33465588
004150,KR7004150009,한솔홀딩스,0,1,01,N,42008577
004170,KR7004170007,신세계,0,1,01,N,9845181
004200,KR7004200002,고려개발,0,1,01,N,15219444
004250,KR7004250007,NPC,0,1,01,N,36720000
004255,KR7004251005,NPC우,0,1,01,N,5280000
004270,KR7004270005,남성,0,1,01,N,36212160
004310,KR7004310009,현대약품,0,1,01,N,32000000
004360,KR7004360004,세방,0,1,01,N,19308690
004365,KR7004361002,세방우,0,1,01,N,3689250
004370,KR7004370003,농심,0,1,01,N,6082642
004380,KR7004380002,삼익THK,0,1,01,N,21000000
