003680,한성기업,100,100
003690,코리안리,30,45
003720,삼영화학,100,100
003780,진양산업,40,50
003830,대한화섬,40,50
003850,보령제약,30,45
003920,남양유업,30,45
003925,남양유업우,100,100
003960,사조대림,30,45
004000,롯데정밀화학,30,45
004020,현대제철,20,45
004060,SG세계물산,40,45
004080,신흥,100,100
004090,한국석유,40,50
004100,태양금속,40,100
004105,태양금속우,100,100
004140,동방,40,60
004150,한솔홀딩스,40,50
004170,신세계,20,45
004200,고려개발,100,100
004250,NPC,40,50
004255,NPC우,100,100
004270,남성,40,50
004310,현대약품,40,50
004360,세방,40,45
004365,세방우,100,100
004370,농심,20,45
004380,삼익THK,40,45
004410,서울식품,100,100
004415,서울식품우,100,100
004430,송원산업,30,45
004440,대림씨엔에스,40,50
004450,삼화왕관,100,100
004490,세방전지,30,45
004540,깨끗한나라,100,100
004545,깨끗한나라우,100,100
004560,현대비앤지스틸,40,50
004565,현대비앤지스틸우,100,100
004690,삼천리,30,45
004700,조광피혁,40,50
004710,한솔테크닉스,40,50
004720,우리들제약,40,45
004770,써니전자,40,45
004800,효성,20,45
004830,덕성,40,50
004835,덕성우,100,100
004840,DRB동일,40,50
004870,티웨이홀딩스,40,60
004890,동일산업,40,50
004910,조광페인트,40,50
004920,씨아이테크,100,100
004960,한신공영,40,60
004970,신라교역,40,50
004980,성신양회,40,45
004985,성신양회우,100,100
004990,롯데지주,20,45
00499K,롯데지주우,40,50
005010,휴스틸,40,50
005030,부산주공,100,100
005070,코스모신소재,40,45
005090,삼광글라스,40,100
005110,한창,40,60
005180,빙그레,30,45
005190,동성화학,40,50
005250,녹십자홀딩스,30,45
005257,녹십자홀딩스2우,100,100
005300,롯데칠성,30,45
005305,롯데칠성우,40,50
005320,국동,40,100
005360,모나미,40,50
005380,현대차,20,45
005385,현대차우,20,45
005387,현대차2우B,20,45
005389,현대차3우B,30,45
005390,신성통상,40,50
005420,코스모화학,40,60
005430,한국공항,40,50
005440,현대그린푸드,30,45
005450,신한,100,100
005490,POSCO,20,45
005500,삼진제약,30,45
005610,SPC삼립,30,45
005680,삼영전자,40,50
005690,파미셀,40,100
005720,넥센,40,50
005725,넥센우,100,100
005740,크라운해태홀딩스,40,45
